id,start,end,text,label
e853d357af5049768f2b67db91df24d6,0,52, 26 IN THE HIGH COURT OF DELHI AT NEW DELHI,ANALYSIS
6d010bb61a8a43c19e6ee9d1043ffad9,96,122,Decided on 15th May 2017,ANALYSIS
37cfdb87ac654fd987d5f6ac6b8ac170,122,197, W P CRL 1021 2013 DEPARTMENT OF CUSTOMS ,ANALYSIS
1097d8d9896944e1a33f60f921af2695,197,231, Petitioners ,ANALYSIS
6238617acbf342b580984fd6ee002d5f,231,550,Through Mr Satish Aggarwala Advocate with Ms Pooja Bhaskar Advocate versus RAM MOHAN GULATI ORS Respondents Through Respondents in person CORAM HON BLE MR JUSTICE R K GAUBA ORDER ORAL ,ANALYSIS
c71122d8384d4fdca2739a883586228e,550,859,1 The department of customs petitioner had statedly seized worn clothes from seven godowns in March 2007 and in the wake of investigation carried out filed a criminal complaint pending in the court of Additional Chief Metropolitan Magistrate ACMM New Delhi on 03 07 2008 against four persons ,FAC
ca7aaa634f4b4e6ba0debbd76f5b4f97,860,1007,An application was moved on 04 07 2011 praying for an inventory to be prepared of the seized items under Section 110 1B of the Customs Act 1962 ,FAC
7797f11b8a20440e8a08b23c48f520a1,1008,1094,The said application addressed to the ACMM was made over to a Metropolitan Magistrate ,FAC
2e838ce37f5d4b85a7b8efc87a6ce211,1095,1430,By order dated 26 03 2013 the Metropolitan Magistrate dismissed it giving liberty to the applicant the petitioner to pursue the matter in an appropriate forum referring in this context to the judgment dated 21 02 2013 of a learned Single Judge of this Court in Crl M C 526 2013 titled Directorate of Revenue Intelligence vs State ,FAC
68f2e5a672c24d5aa9e84e46da8e680a,1430,1572, It is the said order of the Metropolitan Magistrate which is sought to be assailed by the Department of Customs through the petition at hand ,FAC
1b6c488a006a4fbf86cd1d9bfee1b245,1572,2628, 2 Section 110 of the Customs Act 1962 reads as under 110 Seizure of goods documents and things 1 If the proper officer has reason to believe that any goods are liable to confiscation under this Act he may seize such goods Provided that where it is not practicable to seize any such goods the proper officer may serve on the owner of the goods an order that he shall not remove part with or otherwise deal with the goods except with the previous permission of such officer 1A The Central Government may having regard to the perishable or hazardous nature of any goods depreciation in the value of the goods with the passage of time constraints of storage space for the goods or any other relevant considerations by notification in the Official Gazette specify the goods or class of goods which shall as soon as may be after its seizure under sub section 1 be disposed of by the proper officer in such manner as the Central Government may from time to time determine after following the procedure hereinafter specified ,STA
6751ecfc08d64030ae7e8a774a6b637f,2628,3995, 1B Where any goods being goods specified under sub section 1A have been seized by a proper officer under sub section 1 he shall prepare an inventory of such goods containing such details relating to their description quality quantity mark numbers country of origin and other particulars as the proper officer may consider relevant to the identity of the goods in any proceedings under this Act and shall make an application to a Magistrate for the purpose of a certifying the correctness of the inventory so prepared or b taking in the presence of the Magistrate photographs of such goods and certifying such photographs as true or c allowing to draw representative samples of such goods in the presence of the Magistrate and certifying the correctness of any list of samples so drawn 1C Where an application is made under sub section 1B the Magistrate shall as soon as may be allow the application 2 Where any goods are seized under sub section 1 and no notice in respect thereof is given under clause a of section 124 within six months of the seizure of the goods the goods shall be returned to the person from whose possession they were seized Provided that the aforesaid period of six months may on sufficient cause being shown be extended by the Commissioner of Customs for a period not exceeding six months ,STA
d90c9cad9b474b8fbd69f160071fa7e4,3995,4143, 3 The proper officer may seize any documents or things which in his opinion will be useful for or relevant to any proceeding under this Act ,STA
1b80b4561ad147aba8abefbe5cf18079,4143,4346, 4 The person from whose custody any documents are seized under sub section 3 shall be entitled to make copies thereof or take extracts therefrom in the presence of an officer of customs 3 ,STA
586f8fb10cd74e648650d8dcfa127f28,4346,4520,Noticeably the seizure of goods documents or things under Section 110 of the Customs Act 1962 is made by a proper officer who is duly empowered to take such action in law ,ANALYSIS
d17d977723cd4208ae7cb2ae4e4217cd,4521,4805,At the time of seizure the said proper officer is expected to prepare an inventory of the goods seized such inventory to contain all requisite details including their description quality quantity marks numbers country of origin and other particulars relevant to their identity ,ANALYSIS
9cfe783caf3b4d41bd4116490f9c178f,4806,5052,The provisions contained in sub Section 1B and IC of the Section 110 of the Customs Act 1962 enjoin upon the Magistrate before whom an application thereunder is made to allow the same as soon as possible he having three courses open to him ,ANALYSIS
971f1a00667045d8a0371baffa18689a,5053,5357,He can either certify the correctness of the inventory so prepared or have photographs of the seized goods taken in his presence and certify such photographs as true or he may allow representative samples to be drawn in his presence and thereafter certify the correctness of list of samples thus drawn ,ANALYSIS
e67231911bef4dafbc114e82da409608,5357,5436, 4 The expression Magistrate is not defined in the Customs Act 1962 ,ANALYSIS
7b728fc3b2534f9da0b61b8ec6dd5fed,5437,5562,It therefore has to be understood with reference to the nature of the proceedings entrusted by the afore quoted provisions ,ANALYSIS
f5d13c71e9e34b989f5f1e87356c1e6d,5562,5769, 5 For present purposes Section 3 4 of the Code of Criminal Procedure 1973 Cr P C provides the necessary guidelines it reads thus 3 Construction of references 1 In this Code XXX 4 ,STA
